label,preprocessed,EventTime,People,Organisation,Location
1386,Glastonbury tackling plastic problem amazing way,78 days 14:21:40.518526000,"{Jack, Whitehall}",set(),{Glastonbury}
1387,Premier League review flop season,78 days 14:21:25.518526000,set(),"{Villa, Leeds, Aston, Derby}",set()
1388,cheating fiancé accidentally told good bed mistaking mistress,78 days 14:20:58.518526000,set(),set(),set()
1389,having credit card good idea,78 days 14:20:35.518526000,set(),set(),set()
1390,stopping Drive,78 days 14:20:23.518526000,set(),set(),set()
1391,Super Falcons Record Biggest Win Beating Niger,78 days 14:20:20.518526000,"{Benjamin, Mendy}",set(),set()
1392,Еще двадцать четыре участницы голосования MISS MAXIM,78 days 14:20:14.518526000,"{Tompkins, Еще, MAXIM, Goodstuff, Genevieve}",set(),set()
1393,analysis miserable Spanish Grand Prix leaves Ferrari facing near impossible task salvage season,78 days 14:20:03.518526000,"{Juan, Mata}",set(),set()
1394,old Fann Wong keeps skin looking young,78 days 14:19:59.518526000,"{Fann, Wong}",set(),{Glastonbury}
1395,Smiling depression dangerous mental illnesses plagues MILLIONS experts warn,78 days 14:19:56.518526000,set(),set(),set()
1396,Closing gap series pricey flops Manchester United buy British comers challenge City co,78 days 14:19:56.518526000,{SPAGHETTI},"{Manchester, Domino, Caribbean, Amsterdam, British, United}","{New, Zealand}"
1397,stuffed tuned Supra engine classic Mercedes,78 days 14:19:48.518526000,"{Mercedes, Supra}",set(),set()
1398,best fitness trackers buy,78 days 14:19:03.518526000,set(),"{Promos, Singapore}",set()
1399,Doris Day dead Hollywood legend dies aged pneumonia year career,78 days 14:18:52.518526000,"{Kate, Middleton, Viking, Doris}",set(),set()
1400,Mystery Ancient African coin found Australia predates European explorers YEARS,78 days 14:17:37.518526000,set(),"{Australia, African}",set()
1401,Taking fall,78 days 14:17:26.518526000,set(),set(),set()
1402,Trump claims China dreaming Sleepy Joe Biden presidency hopeful let Beijing continue ripping America,78 days 14:16:34.518526000,"{Joe, Biden, Trump, China}","{House, White}",{Hungary}
1403,Athletics SA stands Caster Semenya bid appeal CAS ruling,78 days 14:16:32.518526000,"{Tshisekedi, Semenya, Kabila, Caster}",{Athletics},set()
1404,Diver dies hospital incident coast Donegal,78 days 14:16:14.518526000,set(),set(),{Donegal}
1405,Historic Jeddah Getting Multi Million Riyal Facelift Behest Crown Prince,78 days 14:15:33.518526000,set(),set(),set()
1406,AI Pioneer Explains Evolution Neural Networks,78 days 14:15:31.518526000,set(),set(),set()
1407,Mum dubbed Batch Lady cook meals HOUR frozen ingredients,78 days 14:15:29.518526000,set(),set(),set()
1408,Teaching Joy New Approach Battle Anhedonia,78 days 14:15:25.518526000,set(),set(),set()
1409,little Francisco Marto Fatima visionary,78 days 14:15:15.518526000,"{Marto, Krafft, Mariel, Cibola, Padilla, Robin, Fatima}",set(),set()
1410,China says surrender trade row America heats,78 days 14:14:58.518526000,{Morrison},set(),"{Kong, China, Hong, China}"
1411,Dominic Breazeale blasts Deontay Wilder disgrace heavyweight boxing plans retire,78 days 14:14:52.518526000,"{Deontay, Dominic, Macchio, Karate, Wilder, Ralph, Breazeale, Tszyu}",set(),set()
1412,Vancouver host Blood Alley Square redesign open house Wednesday,78 days 14:14:43.518526000,set(),"{London, Borderline, Alley, Vancouver, Blood, Cornwall, Square}",set()
1413,Mahathir admits having problem gadgets says youngsters embrace technology easily,78 days 14:14:35.518526000,"{Mahathir, Mahathir, OTT, YouTube}",set(),set()
1414,Marijuana boosts intimacy new research suggests,78 days 14:14:26.518526000,set(),set(),set()
1415,Europe warns Iran escalation tensions mount,78 days 14:13:46.518526000,set(),"{Gulf, Tehran, UAE, Council, Cooperation, Gulf, League, Arab}","{Iran, Iran, Israel, Iran}"
1416,life hold Developer demands money sunset clause,78 days 14:13:13.518526000,set(),set(),set()
1417,Crews respond wildfire west Osoyoos,78 days 14:12:38.518526000,set(),set(),{Osoyoos}
1418,Breaking Charles man faces multiple charges connection hit run injured girl,78 days 14:12:18.518526000,set(),"{Uber, Lyft, day}","{Heartland, Charles, Plainfield, Charles}"
1419,things tells turning vegetarian,78 days 14:12:17.518526000,set(),set(),set()
1420,Scott Stinson Kawhi Leonard miracle shot sends Toronto Raptors Game elation,78 days 14:12:05.518526000,"{Scott, Stinson}","{Fletcher, Game, Raptors, Toronto}",set()
1421,Nigel Farage goes Donald Trump tactics Brexit Party leader borrowed,78 days 14:11:59.518526000,"{Trump, Brexit, Party, Nigel, Farage, Donald}","{Michael, Binays, Makati}",set()
1422,year Victoria Secret fashion televised,78 days 14:11:48.518526000,"{Victoria, Secret}",set(),set()
1423,MK creates ultimate summer playlist ahead Eastern Electrics Festival,78 days 14:11:45.518526000,{Zeppelin},"{Drum, Minival, Castle, MK, Aberdeenshire}",set()
1424,Vaccines kids,78 days 14:11:27.518526000,set(),set(),set()
1425,Coronation Street spoilers Conwoman Natalie kisses David Platt tries split Shona Ramsey,78 days 14:11:14.518526000,"{Peter, Secret, Natalie, Dickson, Victoria, Flintstones, Ramsey, Glover, Danny, Platt, Warlock, David, Adam, Efron, Dutton, Zac}",set(),set()
1426,Medicare covered,78 days 14:10:44.518526000,set(),{Medicare},set()
1427,Coyne Justin Trudeau problem Liberal brand,78 days 14:10:15.518526000,"{Coyne, Coyne, Andrew, Justin, Trudeau}",set(),set()
1428,tough job ahead Outgoing Ander Herrera admits Man United fans patient,78 days 14:09:59.518526000,"{Archer, England, Herrera, Jofra, Ferrari, Ander, Lewis, Hamilton, Mahathir, Star}",set(),set()
1429,CCTV footage shows man stabbed face chest random Brisbane attack,78 days 14:09:43.518526000,set(),set(),{Nexon}
1430,Chelsea fly Boston pointless friendly new youngsters Sarri men face world tour weeks,78 days 14:09:26.518526000,set(),"{Boston, Sarri, Chelsea}",set()
1431,Lies Ahead Marketers Tide Turns Ad Targeting,78 days 14:09:19.518526000,set(),set(),set()
1432,need new laws stop banks exploiting customers,78 days 14:09:18.518526000,set(),set(),set()
1433,Duterte supporters slam SF officials resolution EJKs,78 days 14:09:14.518526000,"{Duterte, Higgins, SF}",set(),set()
1434,close shave poodle parlour fur flew got dog home,78 days 14:08:58.518526000,set(),set(),set()
1435,time Leinster dwell Champions Cup hurt ahead semi final Munster,78 days 14:08:58.518526000,set(),set(),set()
1436,Families Hillsborough victims slam shameful fine safety chief Graham Mackrell,78 days 14:08:58.518526000,set(),"{Families, Hillsborough, Graham}",set()
1437,Coffee Drinkers Likely Successful Work,78 days 14:08:41.518526000,set(),set(),set()
1438,Dior Tiepolo Ball saw Karlie Kloss Sienna Miller Tilda Swinton attend Venice Biennale glamorous party,78 days 14:08:41.518526000,"{Gonzalez, Dior, Ball, Tiepolo, Kloss, Karlie, Miller, Alejandro, Sienna, Cannes}",set(),set()
1439,Canada Felix Auger Aliassime drops set opener Rome,78 days 14:08:25.518526000,"{Murphy, Felix, Auger, Aliassime, Jamie}","{SAS, Forces, Armed, Gers}",{Rome}
1440,Amazon Prime Video dramatises real world mundanity lasting power originals,78 days 14:08:06.518526000,"{Video, Monterey}",{Amazon},set()
1441,Weekend College La Roche baseball punch NCAA tickets,78 days 14:07:52.518526000,"{Vunipola, Billy}",{NCAA},set()
1442,Deontay Wilder vs Tyson Fury Promoters Bob Arum Frank Warren explain rematch happen,78 days 14:07:38.518526000,"{Tyson, Warren, Frank, Arum, Bob, Tyson, Wilder, Hearn, Deontay, Eddie, Hughton, Chris}",set(),"{UK, Brighton}"
1443,Coeliac Awareness Week Coeliac disease Symptoms blood tests gluten free diets explained,78 days 14:07:36.518526000,{PKU},set(),set()
1444,TV networks comedy focus help win streaming wars,78 days 14:07:36.518526000,set(),set(),set()
1445,Apologize youth protection cuts Lisée tells Quebec Liberals,78 days 14:07:14.518526000,"{Magoha, Knut}",set(),{Quebec}
1446,Leeds United news Kemar Roofe Championship play semi final second leg Derby,78 days 14:07:12.518526000,"{Garth, Paul, Chelsea, Utd, Pogba}","{United, Kemar, Leeds, BBC, Roofe}",set()
1447,Billions dollars taxes smoke judgment weighs tobacco industry,78 days 14:07:11.518526000,set(),{NHS},set()
1448,Ways Celebrate Independence Day,78 days 14:07:10.518526000,set(),set(),set()
1449,Greg Moodie Internationalists,78 days 14:07:07.518526000,"{Ruud, Greg, Moodie, Krol}",set(),set()
1450,Police Tennessee Solve Clown Mystery,78 days 14:07:05.518526000,{Moped},set(),set()
1451,South African artist work displayed London Underground,78 days 14:07:04.518526000,set(),"{Met, Office}",{London}
1452,Real Madrid offer Gareth Bale Tottenham m loan Zinedine Zidane tries offload Wales star,78 days 14:07:01.518526000,"{Gareth, Zidane, Zinedine, m, Tottenham, Ronaldo, Cristiano, Bale, Wales}","{Bristol, Madrid}",set()
1453,NFL Legend Aaron Rodgers Makes Game Thrones Cameo,78 days 14:06:59.518526000,"{Sophie, Aaron, Rodgers, Aaron, Thrones, Rodgers, Game, Aaron, Rodgers, Thrones, Clarke, Game, Rodgers, Turner, Aaron}",set(),set()
1454,Ottawa Traffic Maitland east ramps Bank Street Bridge closed,78 days 14:06:58.518526000,set(),"{Street, Bridge, Man, United, Maitland, Bank}",set()
1455,BIKINI MODEL good looking find love,78 days 14:06:48.518526000,set(),set(),set()
1456,Jeremy Kyle blatantly destructive years taken death suspend,78 days 14:06:43.518526000,"{Roxanne, Pallett, Kyle, Jeremy}",set(),set()
1457,Youngboy Broke Reportedly Involved Shooting Near Donald Trump Florida Resort,78 days 14:06:34.518526000,set(),set(),set()
1458,donkey called Flirty taught children love hiking,78 days 14:06:27.518526000,set(),set(),set()
1459,Aussie victim slipped stabbed death London Bridge terror attack,78 days 14:06:27.518526000,set(),set(),"{Bangor, Brewer}"
1460,Duterte blasts Western funded media hits professional twisters,78 days 14:06:19.518526000,set(),"{Vodafone, Western}","{New, Zealand}"
1461,Man gunned Terrebonne suspected settling accounts,78 days 14:06:18.518526000,"{Amanda, Holden, Terrebonne, Moped}",set(),set()
1462,Controversial plans turn pub funeral parlour expected ahead,78 days 14:06:17.518526000,set(),set(),set()
1463,Bad news Brexiteers idea Ireland leave EU load nonsense,78 days 14:06:11.518526000,"{Brexiteers, Michael, Gove}",{EU},set()
1464,Rape toddler sparks protests clashes Indian Kashmir,78 days 14:05:58.518526000,set(),set(),set()
1465,Hayward police investigate officer involved shooting,78 days 14:05:58.518526000,{Hayward},set(),set()
1466,scenes House Garden party,78 days 14:05:55.518526000,{Garden},set(),set()
1467,Military Couples Listen Civilian Relationship Advice,78 days 14:05:31.518526000,set(),set(),set()
1468,College admissions scandal cases stand,78 days 14:05:31.518526000,set(),{Safeway},set()
1469,Kerry Washington Joins Night Norman Lear Family Jeffersons ABC,78 days 14:05:30.518526000,"{Laura, ABC, Kerry, Jeffersons, Bailey, Lear, Laura, Norman, Loves}",set(),{Washington}
1470,Man Utd eye m Nicolas Pepe weigh Adrien Rabiot transfer,78 days 14:05:25.518526000,"{Fletcher, Saez, Luis, Pepe, Almazan, Nicolas, Raymond, Meralco, Rabiot, Adrien}",set(),{Kentucky}
1471,Witness Newcastle mayor murder trial killed,78 days 14:05:23.518526000,set(),{RCMP},{Newcastle}
1472,Guide Military Base Protocol New Spouses,78 days 14:05:21.518526000,set(),{Viacom},set()
1473,Managing Rental Property,78 days 14:05:20.518526000,{Dionne},set(),set()
1474,Choice Hotels Offers Owners Data Analytics Tech Improve Revenue Reduce Costs,78 days 14:05:18.518526000,set(),set(),set()
1475,Rage review Mad Max meets Doom biggest brutal playground seen,78 days 14:05:13.518526000,"{Max, EFF, Doom}",set(),set()
1476,End Big Bang Theory stirs debate future TV comedies,78 days 14:05:09.518526000,set(),set(),set()
1477,Hong Kong airport authority selling plane million,78 days 14:05:05.518526000,"{Lucy, Law}",set(),"{Hong, Kong}"
1478,Rage impressions fun wins,78 days 14:05:00.518526000,set(),"{Celtic, Hoops}",set()
1479,Twins Nelson Cruz deemed OK MRI investigate wrist discomfort,78 days 14:04:54.518526000,"{Chris, Twins, Evans, Cruz, Nelson}",set(),set()
1480,Best World admits main client owned CEO brother law,78 days 14:04:51.518526000,set(),{Daimler},set()
1481,Trump urges judge fast track lawsuit House subpoena,78 days 14:04:41.518526000,"{Vallejo, Oakland}","{Trump, House}",set()
1482,Exciting Sparkle Roll heads Musidora field Brando time lucky Duke York,78 days 14:04:40.518526000,"{Leung, Derek}",set(),set()
1483,Wing says change non disparagement language membership agreement,78 days 14:04:33.518526000,set(),set(),set()
1484,LEVY Video condemned anti Semitic,78 days 14:04:31.518526000,"{Video, LEVY, Semitic}",{MEP},set()
1485,Passenger found crystal meth worth m,78 days 14:04:28.518526000,set(),set(),set()
1486,Comelec open going manual voting amid VCM glitches,78 days 14:04:02.518526000,set(),"{Party, Brexit, Comelec, Lib}",set()
1487,boy measles vaccine grew anti vaxxer wants immunised,78 days 14:03:58.518526000,set(),set(),set()
1488,Hollywood Remembers Doris Day Goldie Hawn Says Icon Took Piece Sun,78 days 14:03:39.518526000,"{Teigen, Chrissie, Hawn, Goldie, Day, Doris}",set(),set()
1489,solve real business strategic cases,78 days 14:03:33.518526000,set(),set(),set()
1490,Alexandria Ocasio Cortez slammed Economist suggested female empowerment depriving men sex,78 days 14:03:18.518526000,"{Ocasio, Alexandria, Chatterley, Cortez}",set(),set()
1491,Fragrance Group posts net loss m City Gate completion,78 days 14:02:42.518526000,set(),"{City, Gate, Fragrance, Group}",set()
1492,National Premieres New Songs Stirring Short Film Easy Find,78 days 14:02:39.518526000,set(),set(),set()
1493,Royal Marine Tipped French Test,78 days 14:02:38.518526000,"{McColgan, Elish}",set(),set()
1494,Service Member Survived Marriage,78 days 14:02:28.518526000,set(),set(),set()
1495,women charged trafficking bhang worth,78 days 14:02:22.518526000,set(),set(),{Brampton}
1496,McCarthy takes family tradition World Drivers Championship,78 days 14:02:08.518526000,"{McCarthy, Avengers, Endgame}",set(),set()
1497,Like Trump Nigel Farage stands oust EU elections,78 days 14:02:08.518526000,"{Penrith, Farage, Nigel, EU, Gould}",set(),set()
1498,Review Gods Rap Wembley Arena,78 days 14:02:01.518526000,set(),{PSL},set()
1499,Girl died transplant list inspired royal gift Idris Elba wedding,78 days 14:01:59.518526000,"{Kerry, Co, Carrauntoohil, Elba, Idris}",set(),set()
1500,Public Enemy rapper Chuck D Scottish independence,78 days 14:01:54.518526000,"{Bruyne, De, Kevin, Scottish, D, Chuck}",set(),"{Manchester, City}"
1501,Bushy brows Perrie Edwards Gigi Hadid Dua Lipa rocking fuzzy trend,78 days 14:01:47.518526000,"{Julius, Dua, Zille, Lipa, Gigi, Malema, Hadid, Helen}",set(),set()
1502,Mental health services crisis abandoning patients meet targets,78 days 14:01:45.518526000,set(),set(),{England}
1503,Scots use Firefox browser new super private mode avoid UK porn block,78 days 14:01:21.518526000,set(),set(),"{UK, UK}"
1504,Aubameyang insists Golden Boot race victory Africa sharing Salah Mane,78 days 14:01:13.518526000,set(),"{Rangers, Ibrox, Lisbon, Mane, Lions, Rough}",set()
1505,Leeds United dealt injury blow star striker Kemar Roofe ruled Championship play semi final second leg Derby,78 days 14:01:07.518526000,set(),"{Leeds, United, Duo, Kemar, Liverpool, Roofe, Derby, Arsenal}",set()
1506,Citroen Unveils Fully Electric Concept Mile Range,78 days 14:00:56.518526000,set(),{Citroen},set()
1507,Tech giants secret evidence child sexual abuse inquiry,78 days 14:00:47.518526000,set(),set(),set()
1508,Kate Middleton Prince William meet nephew Baby Archie time tomorrow,78 days 14:00:45.518526000,"{Kate, Archie, Baby, Jeremy, Kyle, Piers, Middleton, Morgan}",set(),set()
1509,Transgender Lotto winner finally achieved fame dreamed snatched away,78 days 14:00:22.518526000,set(),set(),set()
1510,Mud weeds dealt South Bay popular bike trail Roadshow,78 days 14:00:05.518526000,set(),set(),"{Cruz, Santa}"
1511,Future regular long term care Pioneer Village air remediation efforts continue,78 days 14:00:00.518526000,set(),set(),"{Village, Pioneer}"
1512,Elizabeth Hurley dazzles fans cuddles new puppy shimmering bikini,78 days 13:59:43.518526000,"{Elizabeth, Style, Pendleton, Elizabeth, Hurley, Dior, Hurley, Montaigne, Andersson, Victoria, Nicole}",set(),set()
1513,e credit card allows Filipinos buy big ticket items online easy EMIs,78 days 13:59:26.518526000,set(),set(),set()
1514,mysterious sabotage Saudi oil tankers dangerous moment Trump pumped feud Iran,78 days 13:58:58.518526000,{Trump},set(),"{Iran, Iran}"
1515,Perfect burgers depend right meat pro tip,78 days 13:58:32.518526000,set(),"{Irish, Traumatised}",set()
1516,initial votes come somber hopeful mood Otso Diretso HQ,78 days 13:58:17.518526000,"{Diretso, Otso}","{HQ, Brexit, London, Party}",set()
1517,Charlotte Church ex Gavin Henson engaged stunning girlfriend romantic proposal South Africa,78 days 13:58:09.518526000,"{Charlotte, Church, Gavin, Gavin, Henson, Henson}","{Plans, Church, Bombing, Memorial, Charlotte, Beirut, Florida}","{South, South, Jacksonville, Africa, Africa}"
1518,possible work days Danielle Steel says secret success,78 days 13:57:44.518526000,set(),"{Steel, Arsenal, Danielle, Guendouzi}",set()
1519,Zimbabwe rakes m selling baby elephants China,78 days 13:57:38.518526000,set(),"{Disney, China, OMD, Fox, Upfront}",set()
1520,Tony Yeboah African players won scorers European leagues,78 days 13:57:25.518526000,"{Conor, Yeboah, Tony, Coady}",set(),set()
1521,Backpacker raped Thai man Moon Party island searching missing purse,78 days 13:57:19.518526000,set(),set(),set()
1522,Finnish Army knife Sharks forward shows versatility,78 days 13:56:58.518526000,set(),"{knife, Sharks, ASOS, Finnish, Army}",set()
1523,Lauren Underwood honors Crystal Lake boy AJ Freund House speech,78 days 13:56:58.518526000,"{Underwood, Lauren, Jolie, Angelina, Hughton, Chrish, Graham}",set(),{Brighton}
1524,month ago Foxconn said innovation centers,78 days 13:56:57.518526000,set(),"{Technology, Foxconn, Singapore, Pintec}",set()
1525,Court docket,78 days 13:56:56.518526000,set(),set(),set()
1526,Final Adjusted TV Ratings Friday,78 days 13:56:53.518526000,set(),set(),set()
1527,Coroner Russell brings unclaimed mother cremains daughter,78 days 13:56:45.518526000,"{Russell, Smith, Sheridan}",set(),set()
1528,Memorial Day Forget Remember,78 days 13:56:36.518526000,set(),set(),set()
1529,winner Justin Thomas PGA Championship wrist injury,78 days 13:56:32.518526000,"{Thomas, Justin}",set(),{Shanghai}
1530,Man Utd star called Ed Woodward office talks Cardiff City defeat,78 days 13:56:31.518526000,"{Juan, Mata}",set(),"{City, Cardiff}"
1531,Meet Taofik Kolade Nigerian American Writes Atlanta Barry,78 days 13:56:23.518526000,"{Barry, Kolade, Craig, Taofik, Daniel}","{Brothers, Jonas, Atlanta}",set()
1532,Prince Harry leaving Archie Meghan Markle abroad SECOND trip weeks birth,78 days 13:56:22.518526000,"{Trainor, Meghan, Markle, Harry, Meghan, Archie}",set(),set()
1533,Football Nazareth QB McCarthy makes commitment Michigan,78 days 13:56:18.518526000,"{Dijk, Virgil, Anfield, van}","{McCarthy, Nazareth, Football, McCarthy, QB, Nazareth, Football, Michigan}","{Liverpool, Michigan}"
1534,Shia LaBeouf Mel Gibson Set Satire Rothchild Stan Ollie Director Jon Baird HanWay Launches Sales Cannes,78 days 13:56:04.518526000,"{Rothchild, Gibson, Trailer, Baird, Mel, Jon, LaBeouf, Shia, Indecent, Zellweger, Ollie, Renee, Stan}",set(),set()
1535,Arlene Foster Second Brexit referendum places democracy risk,78 days 13:55:59.518526000,"{Arlene, Foster}","{South, Africa, Semenya, Athletics, Brexit, Caster, Cas}",set()
1536,France said granted asylum wife China jailed ex Interpol chief,78 days 13:55:51.518526000,{ISIS},"{France, Interpol, Interpol, Vatican, Trump}","{China, Russia, Indonesia}"
1537,Watch FKA twigs Bring AP Rocky New York,78 days 13:55:51.518526000,"{Sleep, Rocky, Fukk, Perform}","{York, New, FKA, FKA, Rocky}",set()
1538,Paris Arc de Triomphe covered fabric look like giant present weeks,78 days 13:55:31.518526000,"{Doris, Day}",set(),set()
1539,Meghan omaggio Diana tutte le mamme indimenticabili,78 days 13:55:31.518526000,"{Diana, y, Fofoca, Espirros, Meghan}",set(),set()
1540,Taiwanese phone scammers sent packing Brisbane Airport,78 days 13:55:07.518526000,"{Higgins, George}",set(),set()
1541,Driver led Garland police chase McKinney traffic violation police,78 days 13:55:01.518526000,"{Garland, Edson, McKinney}",set(),set()
1542,Actress Singer Doris Day Hollywood Girl Door Dies,78 days 13:54:44.518526000,"{Day, Doris, Doris, Dies}",set(),set()
1543,Daniel James transfer Man Utd dealt big blow winger chase,78 days 13:54:24.518526000,"{Utd, Daniel, Willie, Collum, James}",set(),set()
1544,Editor Letter Moving Forward,78 days 13:54:15.518526000,"{Day, Amazon, Prime}",set(),set()
1545,Liverpool squad return Marbella Champions League Final preparations,78 days 13:53:56.518526000,set(),"{Champions, Marbella, Champions, days, Madrid, Final, League, League, Nations, England, Liverpool, Holland, Liverpool, League}",set()
1546,England star Roy insists hit form perfect time World Cup disgusting injury,78 days 13:53:49.518526000,"{Wilson, Russell}","{World, Roy, Cup, England, NFL}",set()
1547,Watch live EU job hopeful Guy Verhofstadt quizzed Euronews,78 days 13:53:43.518526000,"{Guy, Verhofstadt}",set(),set()
1548,Mobile apps blind visually impaired new sense freedom,78 days 13:53:35.518526000,set(),set(),set()
1549,sanitation privilege right,78 days 13:53:13.518526000,set(),"{Promoters, Grassroots, Support, Million, Council, Arts, Clubs}",set()
1550,Recovering country singer Randy Travis speaks rare Today TV interview,78 days 13:53:11.518526000,"{Randy, Jennifer, Travis, Lawrence}",set(),set()
1551,Lottery winner thought scooped celebrates life changing prize find won,78 days 13:52:50.518526000,set(),set(),set()
1552,Nestle Ghana launches wellness program staff,78 days 13:52:36.518526000,set(),"{Nestle, Forbes, Ghana}",set()
1553,Jennifer Lopez keen daughter singing talents tour,78 days 13:52:28.518526000,"{Jeremy, Lopez, Jennifer, Lawrence, Jennifer, Kyle}","{Dress, Party, Engagement}",set()
1554,Kenyan doctors spot making killing false claims medical insurers cry foul sick bill worth million losses,78 days 13:52:21.518526000,set(),set(),set()
1555,EU ready retaliate Trump vehicle tariff deadline nears,78 days 13:52:04.518526000,"{Trump, EU}",{EU},set()
1556,Technology Build Weapons Workers Stand,78 days 13:52:04.518526000,"{million, Charles}",set(),set()
1557,NYT Russia attacking G health disinformation campaigns,78 days 13:51:59.518526000,set(),"{Trump, McMaster, NYT}","{Japan, North, Korea, Russia}"
1558,Imran Khan Pakistan forced swallow IMF medicine return bailout,78 days 13:51:58.518526000,"{Khan, Imran, Sherman, Barry, Honey}",set(),set()
1559,new law renting uk considerably cheaper,78 days 13:51:52.518526000,set(),set(),set()
1560,Movie Academy Appoints New Governors Large,78 days 13:51:52.518526000,"{Trump, Kim, Kardashian}",set(),set()
1561,Comelec Voting little problematic success lies count,78 days 13:51:49.518526000,set(),"{Wanderers, Club, Bolton, Comelec}",set()
1562,Inside YouTube Latest Privacy Updates Affect Advertisers,78 days 13:51:45.518526000,set(),set(),set()
1563,Escudero poised win Sorsogon governor Legarda Antique congresswoman,78 days 13:51:32.518526000,"{Villar, Jejomar, Nancy, Binay, Sorsogon, Escudero}","{City, Makati, Labella, Osmeña, Cebu}","{Makati, Sorsogon, Darel, Uy}"
1564,meant,78 days 13:51:31.518526000,set(),set(),set()
1565,Greeley announces Neighborhood Nights summer movie lineup,78 days 13:51:26.518526000,set(),"{Chelsea, East, Nights, Neighborhood, Greeley, Metro, Flower}",set()
1566,Chatter reaches fever pitch plum overseas postings,78 days 13:51:13.518526000,set(),"{DRC, Dept}",set()
1567,Pokémon activate area brain,78 days 13:51:09.518526000,set(),set(),set()
1568,SA Mayor Phil Hardberger Venturesome Life Chronicled Musical,78 days 13:51:05.518526000,"{Prince, Phil, Harry, Hardberger}",set(),set()
1569,Trial Fire review old fashioned death row drama pulses anger,78 days 13:50:29.518526000,set(),"{Miami, Market, Time, ICYMI}",set()
1570,Emmerdale spoilers Dying Lisa Dingle hands Cain guardianship son Kyle,78 days 13:50:05.518526000,"{Rosas, Frederick, Timberwolves, Gersson, Emmerdale, Lisa, EastEnders, Kat, Stacey, Dingle, Cain, Kyle, Slater}",set(),set()
1571,Nicole Gibbs miss French Open salivary gland cancer discovered dentist,78 days 13:49:59.518526000,"{Sera, Que, Gibbs, Doris, Hollywood, Tang, Nicole, Riley, Sera}",set(),set()
1572,Rangers hero Ally McCoist reveals CONCERN Gers Walter Smith conversation,78 days 13:49:57.518526000,"{McCoist, Ally, Bush, Laura, Welch, Jenna, Smith, Walter}",set(),{Texas}
1573,Family friends JFS pupil David Minn raise,78 days 13:49:57.518526000,"{Minn, David, Kate, Miller}",set(),set()
1574,Bayron keeps position Puerto Princesa mayor,78 days 13:49:33.518526000,{Erap},"{Moreno, Isko, Bayron}",{Manila}
1575,Unity man accused leading police chase ATV,78 days 13:49:24.518526000,"{Unity, ATV}",set(),set()
1576,Lenny Henry announces HUGE UK Tour tickets sale Friday,78 days 13:49:12.518526000,"{Lenny, Henry, SuRie}",set(),{UK}
1577,Crash forces road closure temporary outage near Tozer Elementary Windsor,78 days 13:49:05.518526000,set(),set(),set()
1578,Paul Gascoigne breaks tears GMB recalling return White Hart Lane Spurs legends match,78 days 13:48:55.518526000,"{Park, Lennon, John, Neil, Hart, White, Gascoigne, Paul}",{Sunderland},set()
1579,Salmond advisor backs Scottish Greens ahead EU elections,78 days 13:48:33.518526000,"{Salmond, Scottish}",{EU},set()
1580,Democratic leaders Muslim lawmaker Holocaust comments,78 days 13:48:18.518526000,set(),set(),set()
1581,Homeless man jailed spending hours Frankie Benny dining crab meatballs refusing pay bill,78 days 13:47:58.518526000,"{Benny, Frankie}",set(),{Queensland}
1582,Real Madrid tell goalkeeper Keylor Navas needed club boost fire Thibaut Courtois,78 days 13:47:49.518526000,"{Navas, Madrid, Newcastle, Rafa, Thibaut, Courtois, Benitez, Keylor}",set(),set()
1583,Prom Walk packs SHS gym,78 days 13:46:53.518526000,set(),{SHS},set()
1584,Marijuana improves couple intimacy new research suggests,78 days 13:45:49.518526000,set(),"{Search, Tool, Google, Rolls, Remote, Job}",set()
1585,Commission fines AB InBev protecting higher Jupiler beer prices Belgium,78 days 13:45:37.518526000,"{Greenpeace, Belgium}","{InBev, AB, Jupiler}",set()
1586,Reader letter Needles easy obtain,78 days 13:45:15.518526000,set(),set(),set()
1587,Kidada Rashida Jones lose mother Peggy Lipton Mother Day weekend,78 days 13:45:10.518526000,"{Kidada, Jones, Meghan, Rashida, Cheryl, Markle, Peggy, Harry}",set(),set()
1588,Watch Nigeria Divisive Central Banker Gets New Term,78 days 13:44:58.518526000,set(),set(),{Gambia}
1589,Ford cut hundreds jobs Britain,78 days 13:44:53.518526000,set(),{Ford},{Britain}
1590,agency probes GM pickup recall went far,78 days 13:44:40.518526000,{Brexit},{GM},set()
1591,IHOP Mother Day tweet pancakes sonogram falls flat,78 days 13:44:24.518526000,set(),set(),set()
1592,Alfie Best went caravan leaving school Britain richest people m helicopter gold bath villas Barbados,78 days 13:44:22.518526000,"{Prospector, Pete, Cal, Long, Beach, Alfie}",set(),{Britain}
1593,Stone late goal caps wild game Canada beats Slovakia worlds,78 days 13:44:17.518526000,"{Stone, Mark}","{Canada, Stone}",{Slovakia}
1594,New father Prince Harry travel Rome week play annual Sentebale Polo Cup,78 days 13:44:13.518526000,"{Rome, Harry}",set(),set()
1595,BitMEX IEOs raised M project teams kept tokens,78 days 13:44:07.518526000,set(),set(),"{New, Air, France}"
1596,BMW ConnectedDrive issues caused Apple CarPlay disappear owners,78 days 13:43:53.518526000,"{Castro, Julián}",set(),set()
1597,Deadline Fox Entertainment Upfronts Presentation Live Blog,78 days 13:43:10.518526000,set(),set(),set()
1598,Welcome TrumpTok Safe Space Safe Spaces,78 days 13:42:47.518526000,"{Bridge, Chaudière}",set(),set()
